Adaptive Rate Log (interval=1s)
Time,Dist(km),Elev,BF(dB),SNR,Rate(Mbps),Status
1719.00s,   1321.75,   62.80°,  11.01,   24.44 dB,    2031.22,  [OK   >=40.00°]
1720.00s,   1319.47,   63.03°,  11.02,   24.47 dB,    2033.23,  [OK   >=40.00°]
1721.00s,   1317.23,   63.27°,  11.03,   24.49 dB,    2035.20,  [OK   >=40.00°]
1722.00s,   1315.04,   63.51°,  11.04,   24.51 dB,    2037.14,  [OK   >=40.00°]
1723.00s,   1312.90,   63.74°,  11.05,   24.54 dB,    2039.03,  [OK   >=40.00°]
1724.00s,   1310.80,   63.97°,  11.06,   24.56 dB,    2040.88,  [OK   >=40.00°]
1725.00s,   1308.76,   64.19°,  11.07,   24.58 dB,    2042.69,  [OK   >=40.00°]
1726.00s,   1306.76,   64.42°,  11.07,   24.60 dB,    2044.47,  [OK   >=40.00°]
1727.00s,   1304.81,   64.64°,  11.08,   24.62 dB,    2046.20,  [OK   >=40.00°]
1728.00s,   1302.91,   64.85°,  11.09,   24.64 dB,    2047.89,  [OK   >=40.00°]
1729.00s,   1301.06,   65.07°,  11.10,   24.66 dB,    2049.53,  [OK   >=40.00°]
1730.00s,   1299.26,   65.28°,  11.11,   24.68 dB,    2051.14,  [OK   >=40.00°]
1731.00s,   1297.51,   65.48°,  11.11,   24.70 dB,    2052.70,  [OK   >=40.00°]
1732.00s,   1295.81,   65.69°,  11.12,   24.72 dB,    2054.22,  [OK   >=40.00°]
1733.00s,   1294.16,   65.88°,  11.13,   24.74 dB,    2055.70,  [OK   >=40.00°]
1734.00s,   1292.56,   66.08°,  11.13,   24.76 dB,    2057.14,  [OK   >=40.00°]
1735.00s,   1291.01,   66.27°,  11.14,   24.77 dB,    2058.53,  [OK   >=40.00°]
1736.00s,   1289.51,   66.46°,  11.15,   24.79 dB,    2059.87,  [OK   >=40.00°]
1737.00s,   1288.06,   66.64°,  11.15,   24.80 dB,    2061.17,  [OK   >=40.00°]
1738.00s,   1286.66,   66.81°,  11.16,   24.82 dB,    2062.43,  [OK   >=40.00°]
1739.00s,   1285.31,   66.99°,  11.16,   24.83 dB,    2063.64,  [OK   >=40.00°]
1740.00s,   1284.01,   67.15°,  11.17,   24.85 dB,    2064.81,  [OK   >=40.00°]
1741.00s,   1282.77,   67.31°,  11.17,   24.86 dB,    2065.93,  [OK   >=40.00°]
1742.00s,   1281.58,   67.47°,  11.18,   24.88 dB,    2067.01,  [OK   >=40.00°]
1743.00s,   1280.43,   67.62°,  11.18,   24.89 dB,    2068.04,  [OK   >=40.00°]
1744.00s,   1279.34,   67.76°,  11.19,   24.90 dB,    2069.03,  [OK   >=40.00°]
1745.00s,   1278.31,   67.90°,  11.19,   24.91 dB,    2069.96,  [OK   >=40.00°]
1746.00s,   1277.32,   68.04°,  11.20,   24.92 dB,    2070.86,  [OK   >=40.00°]
1747.00s,   1276.39,   68.16°,  11.20,   24.93 dB,    2071.70,  [OK   >=40.00°]
1748.00s,   1275.51,   68.28°,  11.20,   24.94 dB,    2072.50,  [OK   >=40.00°]
1749.00s,   1274.68,   68.40°,  11.21,   24.95 dB,    2073.25,  [OK   >=40.00°]
1750.00s,   1273.90,   68.50°,  11.21,   24.96 dB,    2073.95,  [OK   >=40.00°]
1751.00s,   1273.18,   68.60°,  11.21,   24.97 dB,    2074.61,  [OK   >=40.00°]
1752.00s,   1272.51,   68.70°,  11.22,   24.97 dB,    2075.22,  [OK   >=40.00°]
1753.00s,   1271.89,   68.79°,  11.22,   24.98 dB,    2075.78,  [OK   >=40.00°]
1754.00s,   1271.33,   68.86°,  11.22,   24.99 dB,    2076.29,  [OK   >=40.00°]
1755.00s,   1270.82,   68.94°,  11.22,   24.99 dB,    2076.76,  [OK   >=40.00°]
1756.00s,   1270.36,   69.00°,  11.22,   25.00 dB,    2077.17,  [OK   >=40.00°]
1757.00s,   1269.95,   69.06°,  11.23,   25.00 dB,    2077.54,  [OK   >=40.00°]
1758.00s,   1269.60,   69.11°,  11.23,   25.01 dB,    2077.86,  [OK   >=40.00°]
1759.00s,   1269.30,   69.15°,  11.23,   25.01 dB,    2078.14,  [OK   >=40.00°]
1760.00s,   1269.06,   69.19°,  11.23,   25.01 dB,    2078.36,  [OK   >=40.00°]
1761.00s,   1268.86,   69.22°,  11.23,   25.01 dB,    2078.53,  [OK   >=40.00°]
1762.00s,   1268.72,   69.24°,  11.23,   25.02 dB,    2078.66,  [OK   >=40.00°]
1763.00s,   1268.64,   69.25°,  11.23,   25.02 dB,    2078.74,  [OK   >=40.00°]
1764.00s,   1268.61,   69.25°,  11.23,   25.02 dB,    2078.77,  [OK   >=40.00°]
1765.00s,   1268.63,   69.25°,  11.23,   25.02 dB,    2078.75,  [OK   >=40.00°]
1766.00s,   1268.70,   69.24°,  11.23,   25.02 dB,    2078.68,  [OK   >=40.00°]
1767.00s,   1268.83,   69.22°,  11.23,   25.01 dB,    2078.57,  [OK   >=40.00°]
1768.00s,   1269.01,   69.20°,  11.23,   25.01 dB,    2078.40,  [OK   >=40.00°]
1769.00s,   1269.25,   69.16°,  11.23,   25.01 dB,    2078.19,  [OK   >=40.00°]
1770.00s,   1269.53,   69.12°,  11.23,   25.01 dB,    2077.93,  [OK   >=40.00°]
1771.00s,   1269.87,   69.07°,  11.23,   25.00 dB,    2077.62,  [OK   >=40.00°]
1772.00s,   1270.27,   69.02°,  11.22,   25.00 dB,    2077.26,  [OK   >=40.00°]
1773.00s,   1270.71,   68.95°,  11.22,   24.99 dB,    2076.85,  [OK   >=40.00°]
1774.00s,   1271.21,   68.88°,  11.22,   24.99 dB,    2076.40,  [OK   >=40.00°]
1775.00s,   1271.77,   68.80°,  11.22,   24.98 dB,    2075.89,  [OK   >=40.00°]
1776.00s,   1272.37,   68.72°,  11.22,   24.98 dB,    2075.34,  [OK   >=40.00°]
1777.00s,   1273.03,   68.63°,  11.21,   24.97 dB,    2074.74,  [OK   >=40.00°]
1778.00s,   1273.75,   68.53°,  11.21,   24.96 dB,    2074.10,  [OK   >=40.00°]
1779.00s,   1274.51,   68.42°,  11.21,   24.95 dB,    2073.40,  [OK   >=40.00°]
1780.00s,   1275.33,   68.31°,  11.20,   24.94 dB,    2072.66,  [OK   >=40.00°]
1781.00s,   1276.20,   68.19°,  11.20,   24.93 dB,    2071.88,  [OK   >=40.00°]
1782.00s,   1277.12,   68.06°,  11.20,   24.92 dB,    2071.04,  [OK   >=40.00°]
1783.00s,   1278.09,   67.93°,  11.19,   24.91 dB,    2070.16,  [OK   >=40.00°]
1784.00s,   1279.12,   67.79°,  11.19,   24.90 dB,    2069.23,  [OK   >=40.00°]
1785.00s,   1280.20,   67.65°,  11.18,   24.89 dB,    2068.26,  [OK   >=40.00°]
1786.00s,   1281.33,   67.50°,  11.18,   24.88 dB,    2067.23,  [OK   >=40.00°]
1787.00s,   1282.51,   67.35°,  11.17,   24.86 dB,    2066.17,  [OK   >=40.00°]
1788.00s,   1283.74,   67.19°,  11.17,   24.85 dB,    2065.06,  [OK   >=40.00°]
1789.00s,   1285.03,   67.02°,  11.16,   24.84 dB,    2063.90,  [OK   >=40.00°]
1790.00s,   1286.37,   66.85°,  11.16,   24.82 dB,    2062.69,  [OK   >=40.00°]
1791.00s,   1287.75,   66.68°,  11.15,   24.81 dB,    2061.45,  [OK   >=40.00°]
1792.00s,   1289.19,   66.49°,  11.15,   24.79 dB,    2060.15,  [OK   >=40.00°]
1793.00s,   1290.68,   66.31°,  11.14,   24.78 dB,    2058.82,  [OK   >=40.00°]
1794.00s,   1292.22,   66.12°,  11.13,   24.76 dB,    2057.44,  [OK   >=40.00°]
1795.00s,   1293.81,   65.93°,  11.13,   24.74 dB,    2056.01,  [OK   >=40.00°]
1796.00s,   1295.45,   65.73°,  11.12,   24.72 dB,    2054.54,  [OK   >=40.00°]
1797.00s,   1297.14,   65.53°,  11.11,   24.71 dB,    2053.03,  [OK   >=40.00°]
1798.00s,   1298.88,   65.32°,  11.11,   24.69 dB,    2051.48,  [OK   >=40.00°]
1799.00s,   1300.67,   65.11°,  11.10,   24.67 dB,    2049.88,  [OK   >=40.00°]
1800.00s,   1302.51,   64.90°,  11.09,   24.65 dB,    2048.24,  [OK   >=40.00°]
1801.00s,   1304.40,   64.68°,  11.08,   24.63 dB,    2046.56,  [OK   >=40.00°]
1802.00s,   1306.34,   64.46°,  11.08,   24.61 dB,    2044.84,  [OK   >=40.00°]
1803.00s,   1308.33,   64.24°,  11.07,   24.59 dB,    2043.08,  [OK   >=40.00°]
1804.00s,   1310.36,   64.02°,  11.06,   24.56 dB,    2041.27,  [OK   >=40.00°]
1805.00s,   1312.45,   63.79°,  11.05,   24.54 dB,    2039.43,  [OK   >=40.00°]
1806.00s,   1314.58,   63.56°,  11.04,   24.52 dB,    2037.54,  [OK   >=40.00°]
1807.00s,   1316.76,   63.32°,  11.03,   24.50 dB,    2035.62,  [OK   >=40.00°]
1808.00s,   1318.99,   63.09°,  11.02,   24.47 dB,    2033.66,  [OK   >=40.00°]
1809.00s,   1321.26,   62.85°,  11.02,   24.45 dB,    2031.66,  [OK   >=40.00°]
1810.00s,   1323.58,   62.61°,  11.01,   24.42 dB,    2029.61,  [OK   >=40.00°]
1811.00s,   1325.95,   62.36°,  11.00,   24.40 dB,    2027.54,  [OK   >=40.00°]
1812.00s,   1328.37,   62.12°,  10.99,   24.37 dB,    2025.42,  [OK   >=40.00°]
1813.00s,   1330.83,   61.87°,  10.98,   24.35 dB,    2023.27,  [OK   >=40.00°]
1814.00s,   1333.34,   61.62°,  10.97,   24.32 dB,    2021.08,  [OK   >=40.00°]
1815.00s,   1335.89,   61.37°,  10.96,   24.29 dB,    2018.85,  [OK   >=40.00°]
1816.00s,   1338.49,   61.12°,  10.95,   24.27 dB,    2016.59,  [OK   >=40.00°]
1817.00s,   1341.14,   60.87°,  10.94,   24.24 dB,    2014.29,  [OK   >=40.00°]
1818.00s,   1343.83,   60.61°,  10.92,   24.21 dB,    2011.95,  [OK   >=40.00°]
1819.00s,   1346.56,   60.36°,  10.91,   24.18 dB,    2009.59,  [OK   >=40.00°]
1820.00s,   1349.34,   60.10°,  10.90,   24.15 dB,    2007.18,  [OK   >=40.00°]
1821.00s,   1352.16,   59.84°,  10.89,   24.12 dB,    2004.75,  [OK   >=40.00°]
1822.00s,   1355.03,   59.59°,  10.88,   24.09 dB,    2002.28,  [OK   >=40.00°]
1823.00s,   1357.94,   59.33°,  10.87,   24.06 dB,    1999.77,  [OK   >=40.00°]
1824.00s,   1360.90,   59.06°,  10.86,   24.03 dB,    1997.24,  [OK   >=40.00°]
1825.00s,   1363.89,   58.80°,  10.84,   24.00 dB,    1994.67,  [OK   >=40.00°]
1826.00s,   1366.93,   58.54°,  10.83,   23.97 dB,    1992.07,  [OK   >=40.00°]
1827.00s,   1370.02,   58.28°,  10.82,   23.94 dB,    1989.44,  [OK   >=40.00°]
1828.00s,   1373.14,   58.01°,  10.81,   23.91 dB,    1986.77,  [OK   >=40.00°]
1829.00s,   1376.31,   57.75°,  10.80,   23.87 dB,    1984.08,  [OK   >=40.00°]
1830.00s,   1379.52,   57.49°,  10.78,   23.84 dB,    1981.36,  [OK   >=40.00°]
1831.00s,   1382.77,   57.22°,  10.77,   23.81 dB,    1978.60,  [OK   >=40.00°]
1832.00s,   1386.06,   56.96°,  10.76,   23.77 dB,    1975.82,  [OK   >=40.00°]
1833.00s,   1389.39,   56.69°,  10.74,   23.74 dB,    1973.01,  [OK   >=40.00°]
1834.00s,   1392.76,   56.43°,  10.73,   23.70 dB,    1970.17,  [OK   >=40.00°]
1835.00s,   1396.17,   56.16°,  10.72,   23.67 dB,    1967.30,  [OK   >=40.00°]
1836.00s,   1399.63,   55.90°,  10.70,   23.64 dB,    1964.41,  [OK   >=40.00°]
1837.00s,   1403.12,   55.63°,  10.69,   23.60 dB,    1961.48,  [OK   >=40.00°]
1838.00s,   1406.65,   55.36°,  10.68,   23.56 dB,    1958.53,  [OK   >=40.00°]
1839.00s,   1410.22,   55.10°,  10.66,   23.53 dB,    1955.56,  [OK   >=40.00°]
1840.00s,   1413.83,   54.83°,  10.65,   23.49 dB,    1952.56,  [OK   >=40.00°]
1841.00s,   1417.48,   54.57°,  10.63,   23.46 dB,    1949.53,  [OK   >=40.00°]
1842.00s,   1421.16,   54.30°,  10.62,   23.42 dB,    1946.48,  [OK   >=40.00°]
1843.00s,   1424.88,   54.04°,  10.60,   23.38 dB,    1943.40,  [OK   >=40.00°]
1844.00s,   1428.64,   53.77°,  10.59,   23.34 dB,    1940.30,  [OK   >=40.00°]
1845.00s,   1432.44,   53.51°,  10.58,   23.31 dB,    1937.18,  [OK   >=40.00°]
1846.00s,   1436.28,   53.25°,  10.56,   23.27 dB,    1934.03,  [OK   >=40.00°]
1847.00s,   1440.15,   52.98°,  10.55,   23.23 dB,    1930.86,  [OK   >=40.00°]
1848.00s,   1444.05,   52.72°,  10.53,   23.19 dB,    1927.66,  [OK   >=40.00°]
1849.00s,   1448.00,   52.46°,  10.52,   23.15 dB,    1924.45,  [OK   >=40.00°]
1850.00s,   1451.98,   52.19°,  10.50,   23.11 dB,    1921.21,  [OK   >=40.00°]
1851.00s,   1455.99,   51.93°,  10.48,   23.07 dB,    1917.95,  [OK   >=40.00°]
1852.00s,   1460.04,   51.67°,  10.47,   23.03 dB,    1914.67,  [OK   >=40.00°]
1853.00s,   1464.12,   51.41°,  10.45,   22.99 dB,    1911.37,  [OK   >=40.00°]
1854.00s,   1468.24,   51.15°,  10.44,   22.95 dB,    1908.05,  [OK   >=40.00°]
1855.00s,   1472.39,   50.89°,  10.42,   22.91 dB,    1904.71,  [OK   >=40.00°]
1856.00s,   1476.58,   50.63°,  10.41,   22.87 dB,    1901.34,  [OK   >=40.00°]
1857.00s,   1480.80,   50.38°,  10.39,   22.83 dB,    1897.96,  [OK   >=40.00°]
1858.00s,   1485.05,   50.12°,  10.37,   22.79 dB,    1894.57,  [OK   >=40.00°]
1859.00s,   1489.34,   49.86°,  10.36,   22.75 dB,    1891.15,  [OK   >=40.00°]
1860.00s,   1493.66,   49.61°,  10.34,   22.71 dB,    1887.71,  [OK   >=40.00°]
1861.00s,   1498.01,   49.35°,  10.32,   22.67 dB,    1884.26,  [OK   >=40.00°]
1862.00s,   1502.39,   49.10°,  10.31,   22.62 dB,    1880.79,  [OK   >=40.00°]
1863.00s,   1506.81,   48.84°,  10.29,   22.58 dB,    1877.30,  [OK   >=40.00°]
1864.00s,   1511.26,   48.59°,  10.27,   22.54 dB,    1873.80,  [OK   >=40.00°]
1865.00s,   1515.74,   48.34°,  10.26,   22.50 dB,    1870.28,  [OK   >=40.00°]
1866.00s,   1520.24,   48.09°,  10.24,   22.45 dB,    1866.74,  [OK   >=40.00°]
1867.00s,   1524.78,   47.83°,  10.22,   22.41 dB,    1863.19,  [OK   >=40.00°]
1868.00s,   1529.36,   47.59°,  10.21,   22.37 dB,    1859.62,  [OK   >=40.00°]
1869.00s,   1533.96,   47.34°,  10.19,   22.32 dB,    1856.04,  [OK   >=40.00°]
1870.00s,   1538.59,   47.09°,  10.17,   22.28 dB,    1852.44,  [OK   >=40.00°]
1871.00s,   1543.25,   46.84°,  10.15,   22.24 dB,    1848.83,  [OK   >=40.00°]
1872.00s,   1547.94,   46.60°,  10.14,   22.19 dB,    1845.20,  [OK   >=40.00°]
1873.00s,   1552.65,   46.35°,  10.12,   22.15 dB,    1841.56,  [OK   >=40.00°]
1874.00s,   1557.40,   46.11°,  10.10,   22.10 dB,    1837.91,  [OK   >=40.00°]
1875.00s,   1562.18,   45.86°,  10.08,   22.06 dB,    1834.24,  [OK   >=40.00°]
1876.00s,   1566.98,   45.62°,  10.06,   22.01 dB,    1830.56,  [OK   >=40.00°]
1877.00s,   1571.81,   45.38°,  10.05,   21.97 dB,    1826.87,  [OK   >=40.00°]
1878.00s,   1576.67,   45.14°,  10.03,   21.93 dB,    1823.17,  [OK   >=40.00°]
1879.00s,   1581.56,   44.90°,  10.01,   21.88 dB,    1819.45,  [OK   >=40.00°]
1880.00s,   1586.48,   44.66°,   9.99,   21.84 dB,    1815.72,  [OK   >=40.00°]
1881.00s,   1591.42,   44.42°,   9.97,   21.79 dB,    1811.99,  [OK   >=40.00°]
1882.00s,   1596.39,   44.19°,   9.96,   21.74 dB,    1808.24,  [OK   >=40.00°]
1883.00s,   1601.38,   43.95°,   9.94,   21.70 dB,    1804.47,  [OK   >=40.00°]
1884.00s,   1606.40,   43.71°,   9.92,   21.65 dB,    1800.70,  [OK   >=40.00°]
1885.00s,   1611.45,   43.48°,   9.90,   21.61 dB,    1796.92,  [OK   >=40.00°]
1886.00s,   1616.52,   43.25°,   9.88,   21.56 dB,    1793.13,  [OK   >=40.00°]
1887.00s,   1621.62,   43.02°,   9.86,   21.52 dB,    1789.33,  [OK   >=40.00°]
1888.00s,   1626.74,   42.79°,   9.84,   21.47 dB,    1785.51,  [OK   >=40.00°]
1889.00s,   1631.89,   42.56°,   9.82,   21.42 dB,    1781.69,  [OK   >=40.00°]
1890.00s,   1637.06,   42.33°,   9.81,   21.38 dB,    1777.86,  [OK   >=40.00°]
1891.00s,   1642.26,   42.10°,   9.79,   21.33 dB,    1774.02,  [OK   >=40.00°]
1892.00s,   1647.48,   41.87°,   9.77,   21.28 dB,    1770.17,  [OK   >=40.00°]
1893.00s,   1652.72,   41.65°,   9.75,   21.24 dB,    1766.32,  [OK   >=40.00°]
1894.00s,   1657.99,   41.42°,   9.73,   21.19 dB,    1762.45,  [OK   >=40.00°]
1895.00s,   1663.29,   41.20°,   9.71,   21.14 dB,    1758.58,  [OK   >=40.00°]
1896.00s,   1668.60,   40.97°,   9.69,   21.10 dB,    1754.70,  [OK   >=40.00°]
1897.00s,   1673.94,   40.75°,   9.67,   21.05 dB,    1750.81,  [OK   >=40.00°]
1898.00s,   1679.30,   40.53°,   9.65,   21.00 dB,    1746.92,  [OK   >=40.00°]
1899.00s,   1684.69,   40.31°,   9.63,   20.95 dB,    1743.01,  [OK   >=40.00°]
1900.00s,   1690.09,   40.09°,   9.61,   20.91 dB,    1739.10,  [OK   >=40.00°]
1901.00s,   1695.52,   39.88°,   9.59,   20.86 dB,       0.00,  [DOWN <40.00°]
1901.00s,   1222.15,   78.00°,  11.43,   25.54 dB,    2121.76,  [OK   >=40.00°]
1902.00s,   1222.66,   77.86°,  11.42,   25.53 dB,    2121.28,  [OK   >=40.00°]
1903.00s,   1223.23,   77.72°,  11.42,   25.52 dB,    2120.74,  [OK   >=40.00°]
1904.00s,   1223.86,   77.56°,  11.42,   25.52 dB,    2120.16,  [OK   >=40.00°]
1905.00s,   1224.53,   77.38°,  11.42,   25.51 dB,    2119.52,  [OK   >=40.00°]
1906.00s,   1225.27,   77.20°,  11.41,   25.50 dB,    2118.83,  [OK   >=40.00°]
1907.00s,   1226.06,   77.01°,  11.41,   25.49 dB,    2118.09,  [OK   >=40.00°]
1908.00s,   1226.90,   76.81°,  11.41,   25.48 dB,    2117.30,  [OK   >=40.00°]
1909.00s,   1227.80,   76.59°,  11.40,   25.47 dB,    2116.46,  [OK   >=40.00°]
1910.00s,   1228.75,   76.37°,  11.40,   25.46 dB,    2115.56,  [OK   >=40.00°]
1911.00s,   1229.76,   76.14°,  11.39,   25.45 dB,    2114.62,  [OK   >=40.00°]
1912.00s,   1230.82,   75.91°,  11.39,   25.44 dB,    2113.63,  [OK   >=40.00°]
1913.00s,   1231.93,   75.66°,  11.39,   25.43 dB,    2112.59,  [OK   >=40.00°]
1914.00s,   1233.10,   75.41°,  11.38,   25.41 dB,    2111.50,  [OK   >=40.00°]
1915.00s,   1234.32,   75.15°,  11.38,   25.40 dB,    2110.36,  [OK   >=40.00°]
1916.00s,   1235.60,   74.88°,  11.37,   25.38 dB,    2109.17,  [OK   >=40.00°]
1917.00s,   1236.93,   74.61°,  11.36,   25.37 dB,    2107.93,  [OK   >=40.00°]
1918.00s,   1238.31,   74.33°,  11.36,   25.35 dB,    2106.65,  [OK   >=40.00°]
1919.00s,   1239.75,   74.05°,  11.35,   25.34 dB,    2105.31,  [OK   >=40.00°]
1920.00s,   1241.23,   73.77°,  11.35,   25.32 dB,    2103.93,  [OK   >=40.00°]
1921.00s,   1242.77,   73.48°,  11.34,   25.30 dB,    2102.50,  [OK   >=40.00°]
1922.00s,   1244.37,   73.18°,  11.33,   25.29 dB,    2101.03,  [OK   >=40.00°]
1923.00s,   1246.01,   72.88°,  11.33,   25.27 dB,    2099.50,  [OK   >=40.00°]
1924.00s,   1247.71,   72.58°,  11.32,   25.25 dB,    2097.93,  [OK   >=40.00°]
1925.00s,   1249.46,   72.27°,  11.31,   25.23 dB,    2096.32,  [OK   >=40.00°]
1926.00s,   1251.26,   71.96°,  11.30,   25.21 dB,    2094.66,  [OK   >=40.00°]
1927.00s,   1253.11,   71.65°,  11.30,   25.19 dB,    2092.95,  [OK   >=40.00°]
1928.00s,   1255.02,   71.34°,  11.29,   25.17 dB,    2091.20,  [OK   >=40.00°]
1929.00s,   1256.97,   71.02°,  11.28,   25.15 dB,    2089.41,  [OK   >=40.00°]
1930.00s,   1258.97,   70.71°,  11.27,   25.12 dB,    2087.57,  [OK   >=40.00°]
1931.00s,   1261.03,   70.39°,  11.26,   25.10 dB,    2085.69,  [OK   >=40.00°]
1932.00s,   1263.14,   70.06°,  11.25,   25.08 dB,    2083.76,  [OK   >=40.00°]
1933.00s,   1265.29,   69.74°,  11.25,   25.05 dB,    2081.79,  [OK   >=40.00°]
1934.00s,   1267.50,   69.42°,  11.24,   25.03 dB,    2079.78,  [OK   >=40.00°]
1935.00s,   1269.75,   69.09°,  11.23,   25.00 dB,    2077.73,  [OK   >=40.00°]
1936.00s,   1272.05,   68.76°,  11.22,   24.98 dB,    2075.63,  [OK   >=40.00°]
1937.00s,   1274.41,   68.43°,  11.21,   24.95 dB,    2073.50,  [OK   >=40.00°]
1938.00s,   1276.81,   68.11°,  11.20,   24.93 dB,    2071.32,  [OK   >=40.00°]
1939.00s,   1279.26,   67.78°,  11.19,   24.90 dB,    2069.11,  [OK   >=40.00°]
1940.00s,   1281.75,   67.45°,  11.18,   24.87 dB,    2066.85,  [OK   >=40.00°]
1941.00s,   1284.30,   67.11°,  11.17,   24.85 dB,    2064.56,  [OK   >=40.00°]
1942.00s,   1286.89,   66.78°,  11.16,   24.82 dB,    2062.22,  [OK   >=40.00°]
1943.00s,   1289.53,   66.45°,  11.15,   24.79 dB,    2059.85,  [OK   >=40.00°]
1944.00s,   1292.22,   66.12°,  11.13,   24.76 dB,    2057.44,  [OK   >=40.00°]
1945.00s,   1294.95,   65.79°,  11.12,   24.73 dB,    2054.99,  [OK   >=40.00°]
1946.00s,   1297.73,   65.46°,  11.11,   24.70 dB,    2052.51,  [OK   >=40.00°]
1947.00s,   1300.55,   65.13°,  11.10,   24.67 dB,    2049.99,  [OK   >=40.00°]
1948.00s,   1303.43,   64.79°,  11.09,   24.64 dB,    2047.43,  [OK   >=40.00°]
1949.00s,   1306.34,   64.46°,  11.08,   24.61 dB,    2044.84,  [OK   >=40.00°]
1950.00s,   1309.30,   64.13°,  11.06,   24.58 dB,    2042.21,  [OK   >=40.00°]
1951.00s,   1312.31,   63.80°,  11.05,   24.54 dB,    2039.55,  [OK   >=40.00°]
1952.00s,   1315.36,   63.47°,  11.04,   24.51 dB,    2036.85,  [OK   >=40.00°]
1953.00s,   1318.46,   63.14°,  11.03,   24.48 dB,    2034.13,  [OK   >=40.00°]
1954.00s,   1321.59,   62.81°,  11.01,   24.44 dB,    2031.36,  [OK   >=40.00°]
1955.00s,   1324.78,   62.48°,  11.00,   24.41 dB,    2028.57,  [OK   >=40.00°]
1956.00s,   1328.00,   62.16°,  10.99,   24.38 dB,    2025.74,  [OK   >=40.00°]
1957.00s,   1331.27,   61.83°,  10.98,   24.34 dB,    2022.88,  [OK   >=40.00°]
1958.00s,   1334.58,   61.50°,  10.96,   24.31 dB,    2019.99,  [OK   >=40.00°]
1959.00s,   1337.93,   61.18°,  10.95,   24.27 dB,    2017.07,  [OK   >=40.00°]
1960.00s,   1341.33,   60.85°,  10.93,   24.24 dB,    2014.12,  [OK   >=40.00°]
1961.00s,   1344.76,   60.53°,  10.92,   24.20 dB,    2011.14,  [OK   >=40.00°]
1962.00s,   1348.24,   60.20°,  10.91,   24.16 dB,    2008.13,  [OK   >=40.00°]
1963.00s,   1351.76,   59.88°,  10.89,   24.13 dB,    2005.09,  [OK   >=40.00°]
1964.00s,   1355.32,   59.56°,  10.88,   24.09 dB,    2002.03,  [OK   >=40.00°]
1965.00s,   1358.92,   59.24°,  10.86,   24.05 dB,    1998.93,  [OK   >=40.00°]
1966.00s,   1362.56,   58.92°,  10.85,   24.01 dB,    1995.81,  [OK   >=40.00°]
1967.00s,   1366.24,   58.60°,  10.84,   23.98 dB,    1992.66,  [OK   >=40.00°]
1968.00s,   1369.96,   58.28°,  10.82,   23.94 dB,    1989.49,  [OK   >=40.00°]
1969.00s,   1373.71,   57.97°,  10.81,   23.90 dB,    1986.29,  [OK   >=40.00°]
1970.00s,   1377.51,   57.65°,  10.79,   23.86 dB,    1983.06,  [OK   >=40.00°]
1971.00s,   1381.34,   57.34°,  10.78,   23.82 dB,    1979.81,  [OK   >=40.00°]
1972.00s,   1385.22,   57.02°,  10.76,   23.78 dB,    1976.53,  [OK   >=40.00°]
1973.00s,   1389.13,   56.71°,  10.74,   23.74 dB,    1973.23,  [OK   >=40.00°]
1974.00s,   1393.07,   56.40°,  10.73,   23.70 dB,    1969.91,  [OK   >=40.00°]
1975.00s,   1397.06,   56.09°,  10.71,   23.66 dB,    1966.56,  [OK   >=40.00°]
1976.00s,   1401.08,   55.78°,  10.70,   23.62 dB,    1963.19,  [OK   >=40.00°]
1977.00s,   1405.14,   55.48°,  10.68,   23.58 dB,    1959.80,  [OK   >=40.00°]
1978.00s,   1409.23,   55.17°,  10.67,   23.54 dB,    1956.38,  [OK   >=40.00°]
1979.00s,   1413.36,   54.87°,  10.65,   23.50 dB,    1952.95,  [OK   >=40.00°]
1980.00s,   1417.52,   54.56°,  10.63,   23.45 dB,    1949.49,  [OK   >=40.00°]
1981.00s,   1421.72,   54.26°,  10.62,   23.41 dB,    1946.01,  [OK   >=40.00°]
1982.00s,   1425.96,   53.96°,  10.60,   23.37 dB,    1942.51,  [OK   >=40.00°]
1983.00s,   1430.23,   53.66°,  10.58,   23.33 dB,    1939.00,  [OK   >=40.00°]
1984.00s,   1434.53,   53.37°,  10.57,   23.28 dB,    1935.46,  [OK   >=40.00°]
1985.00s,   1438.87,   53.07°,  10.55,   23.24 dB,    1931.90,  [OK   >=40.00°]
1986.00s,   1443.24,   52.77°,  10.53,   23.20 dB,    1928.33,  [OK   >=40.00°]
1987.00s,   1447.65,   52.48°,  10.52,   23.16 dB,    1924.73,  [OK   >=40.00°]
1988.00s,   1452.08,   52.19°,  10.50,   23.11 dB,    1921.12,  [OK   >=40.00°]
1989.00s,   1456.55,   51.90°,  10.48,   23.07 dB,    1917.49,  [OK   >=40.00°]
1990.00s,   1461.05,   51.61°,  10.46,   23.02 dB,    1913.85,  [OK   >=40.00°]
1991.00s,   1465.59,   51.32°,  10.45,   22.98 dB,    1910.19,  [OK   >=40.00°]
1992.00s,   1470.15,   51.03°,  10.43,   22.93 dB,    1906.51,  [OK   >=40.00°]
1993.00s,   1474.75,   50.75°,  10.41,   22.89 dB,    1902.81,  [OK   >=40.00°]
1994.00s,   1479.38,   50.46°,  10.39,   22.84 dB,    1899.10,  [OK   >=40.00°]
1995.00s,   1484.04,   50.18°,  10.38,   22.80 dB,    1895.38,  [OK   >=40.00°]
